,ARIMA,MLP,SVR,DTR,ARIMA+MLP,ARIMA+SVR,"SVR(ARIMA,SVR)",Proposto
ARIMA,1.0,0.11910363831778903,0.2804106063577736,0.007272120717239372,0.9999999997604138,0.9999999997604138,0.9425830344250287,0.9695470119922958
MLP,0.11910363831778903,1.0,0.9999396644538787,0.9858099554813035,0.13948146534229078,0.10110417165118712,0.7804875989812068,0.7014926690100949
SVR,0.2804106063577736,0.9999396644538787,1.0,0.9025247848675533,0.3164367318071357,0.24691101808214666,0.9425830344250287,0.9025247848675533
DTR,0.007272120717239372,0.9858099554813035,0.9025247848675533,1.0,0.009186958937018264,0.005728132012929987,0.21604973172713005,0.16237091482852484
ARIMA+MLP,0.9999999997604138,0.13948146534229078,0.3164367318071357,0.009186958937018264,1.0,0.9999999696110234,0.9575757009452861,0.9788331749574615
ARIMA+SVR,0.9999999997604138,0.10110417165118712,0.24691101808214666,0.005728132012929987,0.9999999696110234,1.0,0.9242958523641549,0.9575757009452861
"SVR(ARIMA,SVR)",0.9425830344250287,0.7804875989812068,0.9425830344250287,0.21604973172713005,0.9575757009452861,0.9242958523641549,1.0,0.9999999696110234
Proposto,0.9695470119922958,0.7014926690100949,0.9025247848675533,0.16237091482852484,0.9788331749574615,0.9575757009452861,0.9999999696110234,1.0
